seed,score,lost
9101226,13,False
9101227,14,False
9101228,14,False
9101229,15,False
9101230,14,False
9101231,14,False
9101232,14,False
9101233,13,False
9101234,10,False
9101235,10,False
9101236,11,False
9101237,14,False
9101238,10,False
9101239,14,False
9101240,11,False
9101241,11,False
9101242,13,False
9101243,14,False
9101244,10,False
9101245,12,False
9101246,12,False
9101247,13,False
9101248,12,False
9101249,12,False
9101250,16,False
9101251,12,False
9101252,12,False
9101253,10,False
9101254,13,False
9101255,14,False
9101256,13,False
9101257,12,False
9101258,13,False
9101259,10,False
9101260,12,False
9101261,16,False
9101262,12,False
9101263,12,False
9101264,10,False
9101265,12,False
9101266,13,False
9101267,12,False
9101268,12,False
9101269,12,False
9101270,13,False
9101271,14,False
9101272,12,False
9101273,12,False
9101274,9,False
9101275,9,False
9101276,11,False
9101277,13,False
9101278,14,False
9101279,13,False
9101280,11,False
9101281,12,False
9101282,12,False
9101283,12,False
9101284,15,False
9101285,13,False
9101286,12,False
9101287,11,False
9101288,10,False
9101289,14,False
9101290,11,False
9101291,10,False
9101292,10,False
9101293,11,False
9101294,11,False
9101295,12,False
9101296,10,False
9101297,12,False
9101298,12,False
9101299,11,False
9101300,14,False
9101301,14,False
9101302,10,False
9101303,12,False
9101304,14,False
9101305,12,False
9101306,16,False
9101307,7,False
9101308,13,False
9101309,14,False
9101310,12,False
9101311,11,False
9101312,13,False
9101313,12,False
9101314,16,False
9101315,11,False
9101316,11,False
9101317,12,False
9101318,14,False
9101319,10,False
9101320,12,False
9101321,12,False
9101322,10,False
9101323,12,False
9101324,12,False
9101325,12,False
9101326,14,False
9101327,10,False
9101328,11,False
9101329,13,False
9101330,16,False
9101331,14,False
9101332,10,False
9101333,14,False
9101334,14,False
9101335,14,False
9101336,13,False
9101337,12,False
9101338,9,False
9101339,16,False
9101340,13,False
9101341,14,False
9101342,10,False
9101343,11,False
9101344,9,False
9101345,9,False
9101346,10,False
9101347,9,False
9101348,16,False
9101349,14,False
9101350,10,False
9101351,16,False
9101352,11,False
9101353,12,False
9101354,12,False
9101355,14,False
9101356,10,False
9101357,12,False
9101358,14,False
9101359,11,False
9101360,14,False
9101361,10,False
9101362,10,False
9101363,12,False
9101364,8,False
9101365,10,False
9101366,14,False
9101367,12,False
9101368,16,False
9101369,12,False
9101370,8,False
9101371,14,False
9101372,9,False
9101373,12,False
9101374,14,False
9101375,11,False
9101376,16,False
9101377,10,False
9101378,10,False
9101379,10,False
9101380,13,False
9101381,12,False
9101382,11,False
9101383,9,False
9101384,12,False
9101385,14,False
9101386,12,False
9101387,13,False
9101388,14,False
9101389,14,False
9101390,14,False
9101391,14,False
9101392,9,False
9101393,10,False
9101394,14,False
9101395,14,False
9101396,11,False
9101397,14,False
9101398,10,False
9101399,9,False
9101400,13,False
9101401,12,False
9101402,11,False
9101403,10,False
9101404,13,False
9101405,14,False
9101406,12,False
9101407,10,False
9101408,16,False
9101409,8,False
9101410,12,False
9101411,11,False
9101412,10,False
9101413,12,False
9101414,12,False
9101415,12,False
9101416,11,False
9101417,8,False
9101418,13,False
9101419,12,False
9101420,14,False
9101421,11,False
9101422,11,False
9101423,14,False
9101424,13,False
9101425,14,False
9101426,13,False
9101427,10,False
9101428,10,False
9101429,12,False
9101430,13,False
9101431,11,False
9101432,11,False
9101433,12,False
9101434,11,False
9101435,12,False
9101436,10,False
9101437,12,False
9101438,11,False
9101439,14,False
9101440,12,False
9101441,14,False
9101442,12,False
9101443,10,False
9101444,12,False
9101445,9,False
9101446,11,False
9101447,16,False
9101448,12,False
9101449,12,False
9101450,10,False
9101451,11,False
9101452,13,False
9101453,11,False
9101454,12,False
9101455,12,False
9101456,13,False
9101457,12,False
9101458,13,False
9101459,14,False
9101460,9,False
9101461,10,False
9101462,11,False
9101463,9,False
9101464,9,False
9101465,12,False
9101466,14,False
9101467,11,False
9101468,10,False
9101469,14,False
9101470,11,False
9101471,12,False
9101472,11,False
9101473,12,False
9101474,11,False
9101475,15,False
9101476,12,False
9101477,12,False
9101478,12,False
9101479,12,False
9101480,15,False
9101481,16,False
9101482,16,False
9101483,12,False
9101484,9,False
9101485,12,False
9101486,12,False
9101487,12,False
9101488,10,False
9101489,13,False
9101490,15,False
9101491,10,False
9101492,12,False
9101493,11,False
9101494,16,False
9101495,12,False
9101496,12,False
9101497,14,False
9101498,11,False
9101499,12,False
9101500,10,False
9101501,12,False
9101502,14,False
9101503,10,False
9101504,7,False
9101505,14,False
9101506,12,False
9101507,12,False
9101508,10,False
9101509,13,False
9101510,12,False
9101511,12,False
9101512,9,False
9101513,10,False
9101514,9,False
9101515,10,False
9101516,14,False
9101517,9,False
9101518,14,False
9101519,12,False
9101520,13,False
9101521,12,False
9101522,12,False
9101523,9,False
9101524,13,False
9101525,14,False
9101526,10,False
9101527,11,False
9101528,16,False
9101529,11,False
9101530,11,False
9101531,7,False
9101532,12,False
9101533,12,False
9101534,12,False
9101535,14,False
9101536,13,False
9101537,14,False
9101538,11,False
9101539,13,False
9101540,10,False
9101541,12,False
9101542,12,False
9101543,16,False
9101544,11,False
9101545,12,False
9101546,12,False
9101547,11,False
9101548,16,False
9101549,11,False
9101550,12,False
9101551,12,False
9101552,9,False
9101553,9,False
9101554,14,False
9101555,14,False
9101556,14,False
9101557,14,False
9101558,14,False
9101559,10,False
9101560,10,False
9101561,9,False
9101562,12,False
9101563,12,False
9101564,11,False
9101565,14,False
9101566,12,False
9101567,14,False
9101568,13,False
9101569,13,False
9101570,16,False
9101571,10,False
9101572,14,False
9101573,10,False
9101574,14,False
9101575,14,False
9101576,12,False
9101577,12,False
9101578,9,False
9101579,12,False
9101580,12,False
9101581,14,False
9101582,12,False
9101583,9,False
9101584,9,False
9101585,12,False
9101586,13,False
9101587,12,False
9101588,10,False
9101589,14,False
9101590,16,False
9101591,11,False
9101592,13,False
9101593,11,False
9101594,14,False
9101595,10,False
9101596,13,False
9101597,14,False
9101598,12,False
9101599,16,False
9101600,11,False
9101601,12,False
9101602,10,False
9101603,14,False
9101604,12,False
9101605,13,False
9101606,11,False
9101607,12,False
9101608,16,False
9101609,14,False
9101610,12,False
9101611,12,False
9101612,14,False
9101613,14,False
9101614,8,False
9101615,10,False
9101616,10,False
9101617,9,False
9101618,12,False
9101619,12,False
9101620,13,False
9101621,10,False
9101622,7,False
9101623,10,False
9101624,12,False
9101625,16,False
9101626,12,False
9101627,14,False
9101628,18,False
9101629,14,False
9101630,14,False
9101631,13,False
9101632,11,False
9101633,12,False
9101634,14,False
9101635,14,False
9101636,10,False
9101637,11,False
9101638,12,False
9101639,11,False
9101640,11,False
9101641,12,False
9101642,14,False
9101643,12,False
9101644,11,False
9101645,11,False
9101646,12,False
9101647,14,False
9101648,9,False
9101649,10,False
9101650,9,False
9101651,12,False
9101652,14,False
9101653,10,False
9101654,10,False
9101655,14,False
9101656,10,False
9101657,13,False
9101658,12,False
9101659,10,False
9101660,13,False
9101661,10,False
9101662,12,False
9101663,16,False
9101664,12,False
9101665,13,False
9101666,14,False
9101667,12,False
9101668,12,False
9101669,11,False
9101670,11,False
9101671,10,False
9101672,12,False
9101673,13,False
9101674,10,False
9101675,10,False
9101676,12,False
9101677,14,False
9101678,14,False
9101679,16,False
9101680,14,False
9101681,14,False
9101682,10,False
9101683,14,False
9101684,12,False
9101685,14,False
9101686,13,False
9101687,12,False
9101688,9,False
9101689,11,False
9101690,11,False
9101691,13,False
9101692,12,False
9101693,14,False
9101694,14,False
9101695,11,False
9101696,12,False
9101697,11,False
9101698,10,False
9101699,12,False
9101700,10,False
9101701,12,False
9101702,11,False
9101703,10,False
9101704,14,False
9101705,10,False
9101706,15,False
9101707,15,False
9101708,10,False
9101709,12,False
9101710,14,False
9101711,14,False
9101712,13,False
9101713,14,False
9101714,12,False
9101715,10,False
9101716,11,False
9101717,12,False
9101718,13,False
9101719,13,False
9101720,12,False
9101721,12,False
9101722,10,False
9101723,12,False
9101724,9,False
9101725,13,False
9101726,8,False
9101727,12,False
9101728,14,False
9101729,12,False
9101730,12,False
9101731,10,False
9101732,11,False
9101733,14,False
9101734,12,False
9101735,12,False
9101736,12,False
9101737,12,False
9101738,14,False
9101739,14,False
9101740,10,False
9101741,12,False
9101742,15,False
9101743,12,False
